CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_IP_NF_MATCH_TTL,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_SECURITY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_ARPFILTER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_ARP_MANGLE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_EMATCH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_EMATCH_U32,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_QUOTA_NETLINK_INTERFACE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_SECURITY_PERF_EVENTS_RESTRICT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HARDENED_USERCOPY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_LATE_MOUNT,PROJECT,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_TARGET_COPY_OUT_ODM,PROJECT,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_TASK_IO_ACCOUNTING,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_TASKSTATS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_TASK_XACCT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
