CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_CUSTOM_KERNEL_UNCALI_GYRO_SENSOR,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_UNCALI_MAG_SENSOR,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_WAKE_GESTURE_SENSOR,PROJECT,qiangming.xia,,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_LCM_X,PROJECT,xiaobin.wei,new config in this commit f4016501cb0eecec097a1de0760984fa6a0c4175,X,X,X,X,,X,X,X,X,O,
CONFIG_DEBUG_ATOMIC_SLEEP,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_BUGVERBOSE,USER,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_INFO,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DEBUG_KMEMLEAK,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_KMEMLEAK_DEFAULT_OFF,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_KMEMLEAK_EARLY_LOG_SIZE,USER;PROJECT,,,X,X,X,X,,X,X,X,X,X,
CONFIG_DEBUG_LIST,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_LOCKDEP,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_PREEMPT,USER:PLATFORM,YT.Chang,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_RODATA,PLATFORM,yun.hsiang,new config in this commit e8ae87ba768328673420ab0b3382efcf7ada3991,X,X,X,X,X,y,y,y,y,y,y
CONFIG_DEBUG_SPINLOCK,USER;PROJECT,May.Huang,new config af2e2e13088253076dd2e39493509b552944b9f3,X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),O(USER;PROJECT),X(USER),X(USER),X(USER)
CONFIG_DEBUG_STACK_USAGE,COMMON,jades.shih,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DETECT_HUNG_TASK,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEVKMEM,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
